Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
32,I was never scared of heights.,Никога не съм се страхувал от височини,Никога не съм се страхувала от височини,,,,,,,,,,,,,,,,,,,,,,,,,Nikad se nisam bojao visine,Nikad se nisam bojala visine,Nikdy jsem se nebál výšek,Nikdy jsem se nebála výšek,Nigdy nie bałem się wysokości,Nigdy nie bałam się wysokości,Nikdy som sa nebál výšok,Nikdy som sa nebála výšok,,,,,,,8
33,I like talking to new people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rád mluvím s novými lidmi,Ráda mluvím s novými lidmi,,,Rád sa rozprávam s novými ľuďmi,Rada sa rozprávam s novými ľuďmi,Rad se pogovarjam z novimi ljudmi,Rada se pogovarjam z novimi ljudmi,,,,,5
34,I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,,," J'avais les enfants de mon ami dans mes bras et après cinq minutes, j'ai dû les poser parce qu'ils étaient trop lourds. "," J'avais les enfants de mon amie dans mes bras et après cinq minutes, j'ai dû les poser parce qu'ils étaient trop lourds. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
35,I always knew that it's important to have a good skincare routine.,"Винаги съм знаел, че е важно да имаш добра рутинна грижа за кожата","Винаги съм знаела, че е важно да имаш добра рутинна грижа за кожата",,,,,,,,,,,,,,,,,,,,,,,,,Uvijek sam znao da je važno imati dobru rutinu njege kože,Uvijek sam znala da je važno imati dobru rutinu njege kože,"Vždy jsem věděl, že je důležité mít dobrou rutinu péče o pleť","Vždy jsem věděla, že je důležité mít dobrou rutinu péče o pleť","Zawsze wiedziałem, że ważne jest, aby mieć dobrą pielęgnację skóry","Zawsze wiedziałam, że ważne jest, aby mieć dobrą pielęgnację skóry","Vždy som vedel, že je dôležité mať dobrú rutinu starostlivosti o pleť","Vždy som vedela, že je dôležité mať dobrú rutinu starostlivosti o pleť","Vedno sem vedel, da je pomembno imeti dobro rutino nege kože","Vedno sem vedela, da je pomembno imeti dobro rutino nege kože","Я всегда знал, что важно правильно ухаживать за кожей","Я всегда знала, что важно правильно ухаживать за кожей","Я завжди знав, що важливо мати правильний догляд за шкірою","Я завжди знала, що важливо мати правильний догляд за шкірою",7
36,I like serving my country.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rád sloužím své zemi,Ráda sloužím své zemi,,,Rád slúžim svojej krajine,Rada slúžim svojej krajine,Rad služim svoji državi,Rada služim svoji državi,,,,,10
37,"I didn't want to change my plans, but it seemed impolite to refuse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nechtěl jsem měnit své plány, ale zdálo se mi nezdvořilé odmítnout","Nechtěla jsem měnit své plány, ale zdálo se mi nezdvořilé odmítnout","Nie chciałem zmieniać swoich planów, ale odmowa wydawała mi się niegrzeczna","Nie chciałam zmieniać swoich planów, ale odmowa wydawała mi się niegrzeczna",,,"Nisem želel spremeniti svojih načrtov, vendar se mi je zdelo nevljudno zavrniti","Nisem želela spremeniti svojih načrtov, vendar se mi je zdelo nevljudno zavrniti","Я не хотел менять свои планы, но мне показалось невежливым отказываться","Я не хотела менять свои планы, но мне показалось невежливым отказываться","Я не хотів змінювати свої плани, але мені здалося неввічливим відмовлятися","Я не хотіла змінювати свої плани, але мені здалося неввічливим відмовлятися",2
38,I am not asexual.,Аз не съм асексуален,Аз не съм асексуална, Je ne suis pas asexuel. , Je ne suis pas asexuelle. ,,,Δεν είμαι άφυλος,Δεν είμαι άφυλη,,,Es neesmu aseksuāls,Es neesmu aseksuāla,Aš nesu aseksualus,Aš nesu aseksuali,,,Eu não sou assexuado,Eu não sou assexuada,,,,,,,,,Nisam aseksualan,Nisam aseksualna,Nejsem asexuál,Nejsem asexuální,Nie jestem aseksualny,Nie jestem aseksualna,Nie som asexuál,Nie som asexuálna,Nisem aseksualen,Nisem aseksualna,,,,,15
39,I got tanned to look better.,,,,,,,,,Mi sono abbronzato per apparire migliore,Mi sono abbronzata per apparire migliore,,,,,,,,,,,,,,,,,,,,,"Opaliłem się, żeby lepiej wyglądać","Opaliłam się, żeby lepiej wyglądać",,,,,,,,,7
40,"If there was a situation in which a leader was needed, I would be naturally able to step up and offer my service.","Ако имаше ситуация, в която беше необходим лидер, естествено бих могъл да се активизирам и да предложа услугите си","Ако имаше ситуация, в която беше необходим лидер, естествено бих могъл да се активизирам и да предложа услугата си",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Если бы возникла ситуация, в которой потребовался бы лидер, я бы, естественно, смог выйти вперед и предложить свои услуги","Если бы возникла ситуация, в которой потребовался бы лидер, я бы, естественно, смогла выйти вперед и предложить свои услуги",,,13
41,They know how strict I am.,Те знаят колко съм строг,Те знаят колко съм строга, Ils savent à quel point je suis strict. , Ils savent à quel point je suis stricte. ,,,Ξέρουν πόσο αυστηρός είμαι,Ξέρουν πόσο αυστηρή είμαι,Sanno quanto sono severo,Sanno quanto sono severa,,,,,,,,,,,Saben lo estricto que soy,Saben lo estricta que soy,,,,,Oni znaju koliko sam strog,Oni znaju koliko sam stroga,"Ví, jak jsem přísný","Ví, jak jsem přísná",,,,,"Vedo, kako strog sem","Vedo, kako stroga sem",,,,,8
42,I was never complaining about being the only one bringing money home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
43,I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,,," J'avais peur de marcher seul la nuit, car si quelque chose arrivait, je ne pourrais pas contre-attaquer. "," J'avais peur de marcher seule la nuit, car si quelque chose arrivait, je ne pourrais pas contre-attaquer. ",,,Φοβόμουν να περπατήσω μόνος μου τη νύχτα γιατί αν συνέβαινε κάτι δεν θα μπορούσα να αντεπιτεθώ,Φοβόμουν να περπατήσω μόνη μου τη νύχτα γιατί αν συνέβαινε κάτι δεν θα μπορούσα να αντεπιτεθώ,,,,,,,,,Eu tinha medo de andar sozinho à noite porque se alguma coisa acontecesse eu não conseguiria contra-atacar,Eu tinha medo de andar sozinha à noite porque se alguma coisa acontecesse eu não conseguiria contra-atacar,,,,,,,,,,,,,,,,,,,,,,,6
44,I always enjoyed reading astrology predictions.,Винаги съм обичал да чета астрологични прогнози,Винаги съм обичала да чета астрологични прогнози,,,,,,,,,,,,,,,,,,,,,,,,,Uvijek sam uživao čitajući astrološka predviđanja,Uvijek sam uživala čitajući astrološka predviđanja,,,Zawsze lubiłem czytać przepowiednie astrologiczne,Zawsze lubiłam czytać przepowiednie astrologiczne,,,,,,,,,1
45,I have discovered a new cream that moisturises the skin perfectly.,,,,,,,,,,,,,,,,,,,,,,,,,,,Otkrio sam novu kremu koja savršeno vlaži kožu,Otkrila sam novu kremu koja savršeno vlaži kožu,"Objevil jsem nový krém, který dokonale hydratuje pokožku","Objevila jsem nový krém, který dokonale hydratuje pokožku","Odkryłem nowy krem, który doskonale nawilża skórę","Odkryłam nowy krem, który doskonale nawilża skórę","Objavil som nový krém, ktorý dokonale hydratuje pokožku","Objavila som nový krém, ktorý dokonale hydratuje pokožku","Odkril sem novo kremo, ki odlično vlaži kožo","Odkrila sem novo kremo, ki odlično vlaži kožo","Я нашел новый крем, который прекрасно увлажняет кожу","Я нашла новый крем, который прекрасно увлажняет кожу","Я знайшов новий крем, який чудово зволожує шкіру","Я знайшла новий крем, який чудово зволожує шкіру",7
46,I knew I was not physically strong enough.,"Знаех, че не съм достатъчно силен физически","Знаех, че не съм достатъчно силна физически", Je savais que je n'étais pas assez fort physiquement. , Je savais que je n'étais pas assez forte physiquement. ,,,Ήξερα ότι δεν ήμουν αρκετά δυνατός σωματικά,Ήξερα ότι δεν ήμουν αρκετά δυνατή σωματικά,,,"Es zināju, ka neesmu pietiekami fiziski spēcīgs","Es zināju, ka neesmu pietiekami fiziski spēcīga","Aš žinojau, kad nesu pakankamai fiziškai stiprus","Aš žinojau, kad nesu pakankamai fiziškai stipri",,,,,Știam că nu sunt suficient de puternic fizic,Știam că nu sunt suficient de puternică fizic,,,Sabia que no era prou fort físicament,Sabia que no era prou forta físicament,,,,,,,,,,,,,,,,,6
47,I took in the puppy because it had no home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Přijal jsem štěně, protože nemělo domov","Přijala jsem štěně, protože nemělo domov","Przygarnąłem szczeniaka, bo nie miał domu","Przygarnęłam szczeniaka, bo nie miał domu","Prijal som šteniatko, pretože nemalo domov","Prijala som šteniatko, pretože nemalo domov",,,"Я взял щенка, потому что у него не было дома","Я взяла щенка, потому что у него не было дома","Я взяв цуценя, тому що в нього не було дому","Я взяла цуценя, тому що в нього не було дому",3
48,I wrestled with everyone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
49,I continually educated myself.,,, Je me suis continuellement instruit. , Je me suis continuellement instruite. ,,,,,Mi sono costantemente istruito,Mi sono costantemente istruita,,,,,,,,,,,,,,,,,,,Neustále jsem se vzdělával,Neustále jsem se vzdělávala,Ciągle się kształciłem,Ciągle się kształciłam,Neustále som sa vzdelával,Neustále som sa vzdelávala,,,,,,,10
50,"I realise that even though I'm not the youngest anymore, I still have a lot to learn.",,," Je me rends compte que même si je ne suis plus le plus jeune, j'ai encore beaucoup à apprendre. "," Je me rends compte que même si je ne suis plus la plus jeune, j'ai encore beaucoup à apprendre. ","Mir ist klar, dass ich, obwohl ich nicht mehr der Jüngste bin, noch viel zu lernen habe","Mir ist klar, dass ich, obwohl ich nicht mehr die Jüngste bin, noch viel zu lernen habe",,,"Mi rendo conto che, anche se non sono più il più giovane, ho ancora molto da imparare","Mi rendo conto che, anche se non sono più la più giovane, ho ancora molto da imparare",,,"Suprantu, kad nors ir nebe jauniausias, man dar reikia daug ko išmokti","Suprantu, kad nors ir nebe jauniausia, man dar reikia daug ko išmokti",,,,,,,"Me doy cuenta de que, aunque ya no soy el más joven, todavía tengo mucho que aprender","Me doy cuenta de que, aunque ya no soy la más joven, todavía tengo mucho que aprender","M'adono que encara que ja no sóc el més jove, encara tinc molt per aprendre","M'adono que encara que ja no sóc la més jove, encara tinc molt per aprendre",,,,,,,"Zdaję sobie sprawę, że chociaż nie jestem już najmłodszy, to nadal mam się wiele nauczyć","Zdaję sobie sprawę, że chociaż nie jestem już najmłodsza, to nadal mam się wiele nauczyć","Uvedomujem si, že aj keď už nie som najmladší, musím sa ešte veľa učiť","Uvedomujem si, že aj keď už nie som najmladšia, musím sa ešte veľa učiť","Zavedam se, da se moram še veliko naučiti, čeprav nisem več najmlajši","Zavedam se, da se moram še veliko naučiti, čeprav nisem več najmlajša",,,"Я розумію, що, хоча я вже не наймолодший, мені ще багато чому треба навчитися","Я розумію, що, хоча я вже не наймолодша, мені ще багато чому треба навчитися",13
51,I needed help with heavy bags.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potřeboval jsem pomoc s těžkými taškami,Potřebovala jsem pomoc s těžkými taškami,,,Potreboval som pomôcť s ťažkými taškami,Potrebovala som pomôcť s ťažkými taškami,Potreboval sem pomoč pri težkih torbah,Potrebovala sem pomoč pri težkih torbah,,,,,6
52,"I swung the sledgehammer, each strike ringing through the air.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
